,fa_dun_dev,PredictionRunName,cart_bonded,fa_intra_sol_xover4,yhh_planarity,total,fa_intra_elec,fa_dun_semi,pro_close,hbond_sr_bb,fa_sol,lk_ball_bridge,rama_prepro,hbond_sc,ScoreMethodID,ref,ExperimentalDDG,hbond_bb_sc,lk_ball_wtd,lk_ball_iso,fa_intra_rep_xover4,fa_dun,fa_intra_rep,StructureOrder,fa_rep,lk_ball,fa_dun_rot,omega,fa_elec,hbond_lr_bb,hxl_tors,fa_atr,lk_ball_bridge_uncpl,fa_intra_atr_xover4,p_aa_pp,PredictionID,rama,DataSetID
13,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,2.9767,,,0.0,-0.0,-0.5323,,,-0.0095,35000,0.0,2.1978,-0.0311,,,,0.0,0.0,id_50,-0.4545,,,0.0,-0.0096,-0.0027,,4.0164,,,0.0,152306,0.0,1
37,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,4.6548,,,0.0,0.0,-0.6477,,,-0.0075,35000,0.0,4.6936,0.0002,,,,0.0,0.0,id_50,-0.5537,,,0.0,-0.0618,0.0034,,5.9218,,,0.0,152307,0.0,2
61,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,-0.1722,,,-0.0,-0.0,-0.0344,,,-0.1252,35000,0.0,3.0829,0.0475,,,,0.0,0.0,id_50,-0.0062,,,0.0,-0.0102,-0.0695,,0.0257,,,0.0,152308,0.0,3
85,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.4864,,,-0.0,-0.0,-0.3521,,,0.0942,35000,0.0,2.9278,0.1298,,,,0.0,0.0,id_50,-0.0167,,,0.0,0.4572,-0.0001,,0.174,,,0.0,152309,0.0,4
109,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.7017,,,0.0,-0.0,-0.212,,,-0.0033,35000,0.0,3.2407,0.3968,,,,0.0,-0.0,id_50,0.0626,,,0.0,0.4003,0.0127,,0.0447,,,0.0,152310,0.0,5
133,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.4484,,,0.0,0.0,-0.2787,,,0.208,35000,0.0,5.0675,0.2221,,,,0.0,0.0,id_50,0.012,,,0.0,0.076,0.0348,,0.1742,,,0.0,152311,0.0,6
157,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.2797,,,0.0,0.0,-7.0024,,,0.0763,35000,0.0,1.9939,0.3866,,,,0.0,0.0,id_50,-0.567,,,0.0,1.0703,-0.1607,,6.4765,,,0.0,152312,0.0,7
181,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,-0.647,,,0.0,0.0,-1.2526,,,-0.025,35000,0.0,0.5554,0.0009,,,,0.0,0.0,id_50,0.0242,,,0.0,0.0269,0.0,,0.5786,,,0.0,152313,0.0,8
205,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,2.2607,,,-0.0,-0.0,-1.9293,,,2.114,35000,0.0,0.248,-0.0264,,,,0.0,0.0,id_50,0.0577,,,0.0,1.1304,-0.0,,0.9143,,,0.0,152314,0.0,9
229,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,4.2872,,,-0.0,0.0,-5.7994,,,0.8596,35000,0.0,6.8124,0.1229,,,,0.0,0.0,id_50,-0.5114,,,0.0,2.0714,-0.0,,7.5441,,,0.0,152315,0.0,10
253,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,8.228,,,-0.0,0.0,-4.9773,,,2.2709,35000,0.0,6.6383,0.0543,,,,0.0,0.0,id_50,-0.4578,,,0.0,1.3066,-0.0,,10.0314,,,0.0,152316,0.0,11
277,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,5.2324,,,0.0,0.0,-6.0914,,,0.4373,35000,0.0,6.974,0.533,,,,0.0,0.0,id_50,-0.4312,,,0.0,1.3793,0.0,,9.4054,,,0.0,152317,0.0,12
301,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,3.1726,,,0.0,-0.0,-7.766,,,1.3759,35000,0.0,6.7643,0.3578,,,,0.0,0.0,id_50,-0.5563,,,0.0,3.4183,-0.0,,6.3429,,,0.0,152318,0.0,13
325,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,5.9388,,,0.0,-0.0,-9.5243,,,1.2546,35000,0.0,10.1004,0.3954,,,,0.0,0.0,id_50,-0.7059,,,0.0,3.2988,0.0,,11.2202,,,0.0,152319,0.0,14
349,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,8.5252,,,0.0,-0.0,-8.2269,,,1.4826,35000,0.0,8.5256,0.3874,,,,0.0,0.0,id_50,-0.721,,,0.0,2.3741,0.0,,13.2291,,,0.0,152320,0.0,15
373,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,4.6387,,,-0.0,0.0,-2.767,,,1.1396,35000,0.0,3.2342,0.1066,,,,0.0,0.0,id_50,-0.53,,,0.0,2.3158,0.0,,4.3738,,,0.0,152321,0.0,16
397,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,2.7563,,,0.0,0.0,-2.895,,,0.6578,35000,0.0,6.6603,-0.0484,,,,0.0,0.0,id_50,-0.2491,,,0.0,1.2893,-0.0,,4.0018,,,0.0,152322,0.0,17
421,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,2.4972,,,-0.0,0.0,-3.5831,,,0.469,35000,0.0,4.1066,-0.1712,,,,0.0,0.0,id_50,-0.3408,,,0.0,1.2949,-0.0,,4.8283,,,0.0,152323,0.0,18
445,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,8.174,,,-0.0,0.0,-4.8402,,,2.5156,35000,0.0,6.4454,-0.0119,,,,0.0,-0.0,id_50,-0.6352,,,0.0,2.4901,-0.0,,8.6556,,,0.0,152324,0.0,19
469,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,4.648,,,0.0,0.0,-5.9821,,,1.0991,35000,0.0,6.1997,0.1062,,,,0.0,0.0,id_50,-0.5699,,,0.0,1.705,-0.0,,8.2898,,,0.0,152325,0.0,20
493,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,9.4237,,,-0.0,-0.0,-6.5179,,,2.4957,35000,0.0,9.1169,0.1871,,,,0.0,0.0,id_50,-0.7325,,,0.0,2.3651,0.0,,11.6261,,,0.0,152326,0.0,21
517,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,-0.8325,,,0.0,0.0,-1.1238,,,-0.0218,35000,0.0,0.1187,-0.0029,,,,0.0,-0.0,id_50,-0.0303,,,0.0,-0.0614,-0.0,,0.4078,,,0.0,152327,0.0,22
541,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,1.8241,,,-0.0,0.0,-1.8776,,,1.404,35000,0.0,2.1496,0.0031,,,,0.0,0.0,id_50,-0.0349,,,0.0,1.3606,0.0,,0.9689,,,0.0,152328,0.0,23
565,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,2.5142,,,0.0,-0.0,-4.0317,,,0.2414,35000,0.0,7.168,-0.0451,,,,0.0,0.0,id_50,-0.8257,,,0.0,0.4358,-0.0,,6.7395,,,0.0,152329,0.0,24
589,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,6.2023,,,0.0,0.0,-3.8598,,,0.8022,35000,0.0,7.2378,0.0244,,,,0.0,0.0,id_50,-0.9909,,,0.0,0.4875,-0.0,,9.7391,,,0.0,152330,0.0,25
613,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.0773,,,0.0,0.0,-0.177,,,0.0653,35000,0.0,0.2401,0.0063,,,,0.0,0.0,id_50,-0.0013,,,0.0,0.0443,-0.0,,0.1398,,,0.0,152331,0.0,26
637,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,2.7669,,,0.0,0.0,-3.8797,,,0.814,35000,0.0,1.2556,0.0021,,,,0.0,0.0,id_50,-0.1619,,,0.0,2.9055,-0.0,,3.0869,,,0.0,152332,0.0,27
661,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,-0.1878,,,0.0,-0.0,-3.9541,,,0.0904,35000,0.0,3.476,0.0084,,,,0.0,-0.0,id_50,-0.3411,,,0.0,0.8058,0.0,,3.2027,,,0.0,152333,0.0,28
685,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.5147,,,0.0,0.0,-1.6133,,,0.1819,35000,0.0,2.364,0.2384,,,,0.0,0.0,id_50,-0.0535,,,0.0,0.3051,-0.0,,1.4562,,,0.0,152334,0.0,29
709,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,1.4204,,,0.0,-0.0,-2.5854,,,0.5933,35000,0.0,0.2721,0.0628,,,,0.0,0.0,id_50,-0.1368,,,0.0,1.3998,0.0,,2.0866,,,0.0,152335,0.0,30
733,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.8605,,,0.0,-0.0,-1.1783,,,0.4739,35000,0.0,0.3853,-0.0122,,,,0.0,-0.0,id_50,-0.0236,,,0.0,0.6248,-0.0,,0.9759,,,0.0,152336,0.0,31
757,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,1.186,,,0.0,-0.0,-3.0038,,,1.0123,35000,0.0,3.7715,-0.1407,,,,0.0,0.0,id_50,-0.2503,,,0.0,0.4897,0.0,,3.0787,,,0.0,152337,0.0,32
781,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.8687,,,0.0,0.0,-0.3935,,,0.0629,35000,0.0,1.9536,0.0282,,,,0.0,0.0,id_50,-0.0981,,,0.0,0.054,-0.0,,1.2151,,,0.0,152338,0.0,33
805,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.4321,,,-0.0,0.0,-0.7555,,,0.0582,35000,0.0,1.375,-0.0014,,,,0.0,0.0,id_50,-0.0341,,,0.0,0.6987,0.0018,,0.4643,,,0.0,152339,0.0,34
829,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,-0.19,,,0.0,0.0,-0.4417,,,0.0356,35000,0.0,-0.0639,0.0265,,,,0.0,0.0,id_50,0.0153,,,0.0,-0.1033,-0.007,,0.2846,,,0.0,152340,0.0,35
853,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,2.237,,,0.0,0.0,-1.5409,,,1.0672,35000,0.0,-0.882,0.3647,,,,0.0,0.0,id_50,0.0042,,,0.0,1.0829,0.0177,,1.2412,,,0.0,152341,0.0,36
877,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,-0.052,,,0.0,0.0,0.0277,,,-0.032,35000,0.0,0.8887,0.0015,,,,0.0,0.0,id_50,0.0116,,,0.0,-0.006,0.0001,,-0.0549,,,0.0,152342,0.0,37
901,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.6457,,,-0.0,0.0,0.1138,,,-0.0215,35000,0.0,0.0,0.0017,,,,0.0,0.0,id_50,-0.1979,,,0.0,-0.0188,-0.0004,,0.7687,,,0.0,152343,0.0,38
925,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,3.1753,,,0.0,0.0,-3.2841,,,1.5677,35000,0.0,1.3317,0.5686,,,,0.0,0.0,id_50,-0.2322,,,0.0,1.5937,0.0032,,2.9584,,,0.0,152344,0.0,39
949,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,4.1849,,,0.0,0.0,-9.7846,,,0.7344,35000,0.0,2.4325,1.841,,,,0.0,-0.0,id_50,0.063,,,0.0,3.2951,-0.1582,,8.1942,,,0.0,152345,0.0,40
973,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,-0.0388,,,0.0,0.0,0.0077,,,0.0035,35000,0.0,-0.2458,-0.0085,,,,0.0,0.0,id_50,0.0113,,,0.0,-0.0459,-0.0048,,-0.0021,,,0.0,152346,0.0,41
997,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,-0.1108,,,0.0,0.0,-0.3735,,,0.0058,35000,0.0,-0.4201,-0.0022,,,,0.0,0.0,id_50,-0.011,,,0.0,0.1085,0.0077,,0.154,,,0.0,152347,0.0,42
1021,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.016,,,0.0,0.0,-0.0598,,,0.0137,35000,0.0,1.57,0.0047,,,,0.0,0.0,id_50,-0.0249,,,0.0,0.022,-0.0019,,0.0623,,,0.0,152348,0.0,43
1045,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,0.0744,,,-0.0,-0.0,0.0422,,,0.0003,35000,0.0,-0.2458,0.0052,,,,0.0,0.0,id_50,-0.0095,,,0.0,0.0664,-0.002,,-0.0282,,,0.0,152349,0.0,44
1069,,zemu_1.2-60000_rscript_simplified-t14,,,0.0,-0.0435,,,0.0,0.0,-0.0111,,,-0.0105,35000,0.0,-0.2458,0.0044,,,,0.0,-0.0,id_50,-0.0019,,,0.0,-0.0175,-0.0053,,-0.0017,,,0.0,152350,0.0,45
